location,date,avg,median,high,low,std,obs
PEPCO,2020-07-14,22.969867625000003,22.4249095,42.769922,12.413009,8.765896377462175,24
PEPCO,2020-07-15,26.31651104166667,22.9101515,55.149596,12.774916,13.053721907663304,24
PEPCO,2020-07-16,25.048254166666666,25.6597355,42.631136,13.728513,9.0741430205791,24
PEPCO,2020-07-17,29.649177499999997,26.993702,60.63735,13.717989,14.562574961006716,24
PEPCO,2020-07-18,27.316667166666665,27.1655115,52.035596,12.214368,12.50509929753021,24
PEPCO,2020-07-19,26.606544333333332,25.3054745,52.531705,11.620452,12.768611259858265,24
PEPCO,2020-07-20,34.775997374999996,29.3467645,73.766148,15.189918,18.53344103002728,24
PEPCO,2020-07-21,26.507804333333336,26.2541815,44.423257,14.168011,9.48741668093099,24
PEPCO,2020-07-22,26.163546916666665,24.196543,45.172563,14.053656,9.962510125898055,24
PEPCO,2020-07-23,25.307666458333333,24.520743500000002,38.514655,15.034603,8.085930001338577,24
PEPCO,2020-07-24,24.540392208333333,24.2221435,40.636649,14.597816,7.952186739976042,24
PEPCO,2020-07-25,23.632634375,23.1740485,42.315771,11.944796,9.25160399072794,24
PEPCO,2020-07-26,25.145042333333333,22.753425,49.587142,11.484873,11.485147271682829,24
PEPCO,2020-07-27,31.33598183333333,26.167774,69.14097,13.983064,17.085414881511365,24
PEPCO,2020-07-28,27.078621124999998,25.091020999999998,50.330474,14.951879,10.390278810517193,24
PEPCO,2020-07-29,27.743982458333335,24.435807,56.833187,13.963856,12.850822774669464,24
PEPCO,2020-07-30,26.537588916666667,25.3401595,47.587816,14.595614,9.837872186227811,24
PEPCO,2020-07-31,23.48230475,23.248212,33.525054,14.93809,6.027385385032871,24
PEPCO,2020-08-01,21.91752058333333,21.4829085,35.146386,13.278195,6.838492799574267,24
PEPCO,2020-08-02,21.786675791666667,21.1694505,40.00175,12.663243,7.687119749921892,24
PEPCO,2020-08-03,23.389777999999996,23.122309,37.447134,14.120576,6.990887874285204,24
PEPCO,2020-08-04,21.66565841666667,21.440221,33.283915,13.68883,5.920273786292871,24
PEPCO,2020-08-05,23.938270958333334,21.8113475,41.682297,13.456214,9.108316801132611,24
PEPCO,2020-08-06,24.744314666666668,22.9716465,44.162511,13.895043,9.3657519066401,24
PEPCO,2020-08-07,25.193338041666667,24.563029,45.22929,13.750703,9.64959577196337,24
PEPCO,2020-08-08,22.575590458333334,21.834345,40.320643,12.891877,8.57044093342785,24
PEPCO,2020-08-09,23.69414516666667,21.560395999999997,47.497048,11.716124,11.21634930660366,24
PEPCO,2020-08-10,29.760648500000002,24.939529999999998,57.924661,13.413333,15.104837086071152,24
PEPCO,2020-08-11,28.471333833333333,26.006674,58.410276,14.959981,12.478555753368468,24
PEPCO,2020-08-12,27.702747333333335,24.973791,51.347454,16.088596,10.603637431015631,24
PEPCO,2020-08-13,25.006128291666666,24.4763475,39.556452,16.54064,6.620414427374767,24
PEPCO,2020-08-14,24.441197,23.6031905,38.914477,15.588516,6.957799758551453,24
PEPCO,2020-08-15,23.51981925,22.462829499999998,36.029983,14.986054,6.354722915070816,24
PEPCO,2020-08-16,21.312459916666665,20.8567715,34.834657,13.18965,6.16381695683063,24
PEPCO,2020-08-17,24.802810541666663,22.1833035,47.91995,12.115285,10.900609287103176,24
PEPCO,2020-08-18,23.898955791666666,22.091272500000002,46.584024,11.911743,10.090978983979971,24
PEPCO,2020-08-19,23.146214375,22.1090835,36.375699,13.627664,7.561557673836561,24
PEPCO,2020-08-20,24.840251416666664,22.811385,46.352797,13.551961,9.23539606124001,24
PEPCO,2020-08-21,27.376210791666665,23.817451,60.897471,13.016999,13.191356311790896,24
PEPCO,2020-08-22,24.49377120833333,23.519237500000003,46.42418,13.210844,9.5438627722776,24
PEPCO,2020-08-23,25.118836666666667,23.0711905,48.733029,14.097085,10.095596690291249,24
PEPCO,2020-08-24,31.138754458333334,26.7921145,65.332421,15.693524,15.083534296559161,24
PEPCO,2020-08-25,33.069492000000004,27.201876,69.428673,14.926658,17.254504317355398,24
PEPCO,2020-08-26,27.458340583333335,27.789852500000002,46.678577,15.767285,9.529006114287393,24
PEPCO,2020-08-27,29.931630958333333,25.1658315,64.062322,15.150343,15.078535361566674,24
PEPCO,2020-08-28,26.7131715,25.359945500000002,45.872254,16.185351,8.695983295323414,24
PEPCO,2020-08-29,24.195449125,23.391164500000002,38.676117,16.047385,6.640201743469417,24
PEPCO,2020-08-30,21.295313208333333,20.153975000000003,32.27789,13.380884,5.8784512064422785,24
PEPCO,2020-08-31,21.770448291666668,21.7598085,33.045783,11.24983,7.483174629644638,24
PEPCO,2020-09-01,25.382842541666665,24.509327,46.798316,12.52936,9.85323383067824,24
PEPCO,2020-09-02,27.417572875,26.0727255,53.464248,15.307496,10.743908395055637,24
PEPCO,2020-09-03,27.765332833333332,26.0111515,48.347884,16.115231,9.468792575137877,24
PEPCO,2020-09-04,23.805308625,23.997775,35.120689,15.39862,5.816300509545581,24
PEPCO,2020-09-05,19.210760416666666,18.4921035,26.604076,12.705702,4.741927682763834,24
PEPCO,2020-09-06,18.111265333333332,16.860705000000003,28.130063,11.363922,5.673755261852169,24
PEPCO,2020-09-07,18.880700791666666,17.215315500000003,32.991412,10.155133,7.732476283767321,24
PEPCO,2020-09-08,24.163847416666666,21.662096499999997,48.596287,13.792287,9.700879045049978,24
PEPCO,2020-09-09,24.106498083333335,23.817828,39.990455,14.190701,7.67961483001961,24
PEPCO,2020-09-10,27.895540708333332,25.1712985,52.684546,16.258764,10.169386013234167,24
PEPCO,2020-09-11,27.0328635,25.37987,45.516313,18.125308,7.896132829482631,24
PEPCO,2020-09-12,23.2606505,23.065699000000002,33.668266,15.063991,6.344581174508945,24
PEPCO,2020-09-13,24.312637,22.188689500000002,39.793259,15.972325,7.588794761958342,24
PEPCO,2020-09-14,23.375973833333333,22.5328285,41.064549,14.507875,6.810633470439306,24
